Total	positiv	group	cfu_ml	groupname
19	19	0	1000000	safA
19	19	0	100000	safA
19	19	0	10000	safA
19	19	0	1000	safA
19	19	0	100	safA
19	8	0	10	safA
19	0	0	1	safA
19	19	1	1000000	fliA
19	19	1	100000	fliA
19	19	1	10000	fliA
19	19	1	1000	fliA
19	18	1	100	fliA
19	9	1	10	fliA
19	0	1	1	fliA
19	19	2	1000000	H2 vorn
19	19	2	100000	H2 vorn
19	19	2	10000	H2 vorn
19	19	2	1000	H2 vorn
19	17	2	100	H2 vorn
19	6	2	10	H2 vorn
19	1	2	1	H2 vorn
19	19	3	1000000	H2 hinten
19	19	3	100000	H2 hinten
19	19	3	10000	H2 hinten
19	19	3	1000	H2 hinten
19	18	3	100	H2 hinten
19	3	3	10	H2 hinten
19	0	3	1	H2 hinten
